Date,SP500,cpi
2015-06-17,-1219.7070701464122,-0.6782647773693213
2015-06-18,-1218.7180396525578,-0.7010399433055454
2015-06-19,-1218.8422917295843,-0.6981786951541551
2015-06-22,-1217.8961139935982,-0.7199670576729602
2015-06-23,-1217.1727427041396,-0.7366246847666673
2015-06-24,-1216.2629845821439,-0.7575743848204297
2015-06-25,-1215.5860225853808,-0.7731633094335564
2015-06-26,-1214.0000172603864,-0.809685473994648
2015-06-29,-1215.6074489643152,-0.7726699077248611
2015-06-30,-1218.613069573173,-0.7034571700656613
2015-07-01,-1220.8495227507078,-0.27485669830070947
2015-07-02,-1222.087057398615,-0.24635903606173315
2015-07-06,-1223.206040885616,-0.220591342593508
2015-07-07,-1224.2736115235707,-0.196007572346673
2015-07-08,-1228.1125857746197,-0.10760455935985647
2015-07-09,-1233.1062570498925,0.0073885501873292014
2015-07-10,-1235.4891876860902,0.06226212687798238
2015-07-13,-1237.1494618265933,0.10049453658075436
2015-07-14,-1238.238458843483,0.12557170853634148
2015-07-15,-1238.3227347716916,0.12751239515958446
2015-07-16,-1236.7531522692816,0.09136841156643527
2015-07-17,-1234.9572067855179,0.050011793485111866
2015-07-20,-1229.9128200209693,-0.06614918064357767
2015-07-21,-1225.9067496520224,-0.15840004446619105
2015-07-22,-1223.2838749529492,-0.21879899765571054
2015-07-23,-1221.472221440365,-0.26051733659917886
2015-07-24,-1220.6945781268032,-0.2784247273375229
2015-07-27,-1221.6729041481876,-0.255896061522634
2015-07-28,-1218.347361027828,-0.33247590093597523
2015-07-29,-1214.2584443182009,-0.4266345311701798
2015-07-30,-1211.9726384639748,-0.4792715407987771
2015-07-31,-1211.6698622858194,-0.4862438007461378
2015-08-03,-1212.4489582085757,-0.4693032247624842
2015-08-04,-1213.4543940910207,-0.44615027932431417
2015-08-05,-1215.2003563132666,-0.40594466425264386
2015-08-06,-1218.2766717688123,-0.3351039819808932
2015-08-07,-1221.8978518466815,-0.2517162829454094
2015-08-10,-1222.9711408347512,-0.22700083185193876
2015-08-11,-1225.1191309644237,-0.1775374109193706
2015-08-12,-1226.2688157153002,-0.15106273583273833
2015-08-13,-1226.0017443573702,-0.15721279342091066
2015-08-14,-1224.2950434901768,-0.19651430707025952
2015-08-17,-1223.6387930785836,-0.2116262900805168
2015-08-18,-1224.470725850243,-0.19246873423156785
2015-08-19,-1226.5430175768788,-0.14474847865233187
2015-08-20,-1231.406735859005,-0.032747896637118856
2015-08-21,-1240.4864733858449,0.1763382034539518
2015-08-24,-1254.7762642076027,0.505400208297857
2015-08-25,-1271.3597323319905,0.8872804846674569
2015-08-26,-1281.574884885413,1.1225126599276507
2015-08-27,-1287.9953280991892,1.2703611443641876
2015-08-28,-1296.2295692068424,1.459977348061642
